Designator,Mid X,Mid Y,Rotation,Layer
BE000024_2,154.8958,-108.0214,0.0,bottom
C1,170.8404,-98.806,0.0,top
C10,166.1668,-95.2079,270.0,top
C11,165.2524,-95.2079,270.0,top
C12,167.0812,-95.2079,90.0,top
C13,167.9956,-95.2079,90.0,top
C14,162.1449,-102.7176,180.0,top
C15,162.1449,-101.8032,180.0,top
C16,169.8244,-94.7928,90.0,top
C17,170.032717,-97.143417,270.0,top
C18,160.4685,-92.9132,180.0,top
C19,148.3868,-95.175122,270.0,top
C2,170.8404,-99.822,0.0,top
C20,146.8628,-102.4128,270.0,top
C21,147.7772,-102.4215,270.0,top
C22,153.9748,-104.0384,0.0,top
C23,153.3652,-102.4723,270.0,top
C24,154.2796,-102.4723,270.0,top
C25,155.194,-102.4723,270.0,top
C3,172.3898,-99.1108,270.0,top
C4,171.196,-94.5388,90.0,top
C5,172.8724,-96.2406,180.0,top
C6,173.4058,-104.2416,90.0,top
C7,168.8338,-104.3178,270.0,top
C8,162.814,-106.2736,135.0,top
C9,168.91,-95.2079,270.0,top
D1,171.196,-102.8137,270.0,top
H1,124.0926,-88.0872,0.0,top
H2,124.0926,-111.0872,0.0,top
H3,182.0926,-111.0872,0.0,top
H4,182.0926,-88.0872,0.0,top
IC1,166.37,-99.822,270.0,top
J1,178.5382,-94.85365,270.0,top
J2,178.5464,-104.3332,270.0,top
J3,160.2232,-111.9886,90.0,top
J4,153.0926,-88.0872,270.0,bottom
J6,144.2212,-98.552,180.0,top
J7,144.2212,-98.552,0.0,bottom
JP1,162.5022,-95.9718,180.0,bottom
JP2,151.5959,-95.211722,270.0,bottom
L1,171.2976,-96.762301,90.0,top
L2,172.7708,-95.1738,0.0,top
L3,172.7708,-105.8164,180.0,top
L4,171.196,-106.261901,90.0,top
LED1,172.9353,-111.5568,180.0,top
LED2,170.307,-111.5568,180.0,top
LED3,167.6908,-111.5568,180.0,top
Q1,142.1384,-95.3008,0.0,top
Q2,138.0744,-95.3008,0.0,top
R1,162.052,-98.8314,180.0,top
R10,165.0492,-106.6292,0.0,top
R11,148.3868,-92.4306,90.0,top
R12,154.8384,-93.6873,270.0,top
R13,154.8384,-95.9104,90.0,top
R14,172.9353,-110.3884,180.0,top
R15,170.307,-110.3884,180.0,top
R16,141.8105,-93.4316,0.0,top
R17,167.6908,-110.3884,180.0,top
R18,137.7419,-93.4212,0.0,top
R19,130.302,-103.378,180.0,top
R2,162.052,-99.7966,180.0,top
R20,130.302,-104.3178,180.0,top
R21,130.302,-101.4984,180.0,top
R22,130.302,-102.4382,180.0,top
R23,130.302,-99.6188,180.0,top
R24,130.302,-100.5586,180.0,top
R25,130.302,-97.7392,180.0,top
R26,130.302,-98.679,180.0,top
R3,162.052,-100.7364,180.0,top
R4,164.0332,-104.3178,90.0,top
R5,164.9984,-104.3178,90.0,top
R6,165.9636,-104.3178,90.0,top
R7,167.7924,-104.3178,90.0,top
R8,173.4312,-97.8154,270.0,top
R9,173.4312,-102.0318,90.0,top
U1,151.6634,-95.211722,0.0,top
U2,150.622,-102.8192,0.0,top
Y1,160.4772,-95.0468,0.0,top
